x   ssd-off-r-s   ssd-off-w-s   ssd-off-r-r   ssd-off-w-r   ssd-on-r-s  ssd-on-w-s  ssd-on-r-r  ssd-on-w-r
2   0.003         0.003         0.010         0.010         0.003       0.003       0.010       0.010
3   0.002         0.002         0.006         0.006         0.002       0.002       0.005       0.005
4   0.002         0.002         0.003         0.004         0.002       0.002       0.005       0.004
5   0.002         0.002         0.002         0.002         0.002       0.002       0.003       0.002
6   0.002         0.002         0.002         0.002         0.002       0.002       0.004       0.002
7   0.002         0.002         0.002         0.002         0.003       0.002       0.002       0.002
8   0.002         0.002         0.003         0.002         0.003       0.003       0.002       0.003
9   0.003         0.003         0.003         0.002         0.003       0.003       0.003       0.002
10  0.003         0.004         0.004         0.003         0.003       0.003       0.004       0.004
11  0.005         0.004         0.006         0.004         0.006       0.006       0.005       0.005
12  0.006         0.006         0.005         0.005         0.013       0.007       0.015       0.015
